compound_id,source,smiles,seed,best_affinity_kcal_mol
deriv_013,derivative,CNc1cc(-c2c(OC)cccc2OC)nc2c1cnn2C1=NN=CC1,2002,-8.071
deriv_014,derivative,CNc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.291
deriv_014,derivative,CNc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2001,-8.301
deriv_014,derivative,CNc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2002,-8.266
deriv_015,derivative,CNc1cccc(OC)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2000,-8.409
deriv_015,derivative,CNc1cccc(OC)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2001,-8.411
deriv_015,derivative,CNc1cccc(OC)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2002,-8.404
deriv_016,derivative,CNc1cc(-c2c(OC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.511
deriv_016,derivative,CNc1cc(-c2c(OC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2001,-8.529
deriv_016,derivative,CNc1cc(-c2c(OC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2002,-7.644
deriv_017,derivative,COc1cc(-c2c(OC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.609
deriv_017,derivative,COc1cc(-c2c(OC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2001,-8.61
deriv_017,derivative,COc1cc(-c2c(OC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,2002,-8.613
deriv_018,derivative,COc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2000,-7.684
deriv_018,derivative,COc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2001,-7.742
deriv_018,derivative,COc1cccc(OC)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2002,-7.756
deriv_019,derivative,CN(C)c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2000,-8.415
deriv_019,derivative,CN(C)c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2001,-8.431
deriv_019,derivative,CN(C)c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,2002,-8.394
deriv_020,derivative,CN(C)Cc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2000,-8.034
deriv_020,derivative,CN(C)Cc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2001,-8.03
deriv_020,derivative,CN(C)Cc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,2002,-8.001
deriv_021,derivative,CNc1cccc(N(C)C)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2000,-7.718
deriv_021,derivative,CNc1cccc(N(C)C)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2001,-7.712
deriv_021,derivative,CNc1cccc(N(C)C)c1-c1cc(NC)c2cnn(C3=NN=CC3)c2n1,2002,-7.718
deriv_022,derivative,CNc1cccc(NC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-7.771
deriv_022,derivative,CNc1cccc(NC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2001,-7.744
deriv_022,derivative,CNc1cccc(NC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2002,-7.739
deriv_023,derivative,CNc1cccc(NC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2000,-7.5
deriv_023,derivative,CNc1cccc(NC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2001,-7.5
deriv_023,derivative,CNc1cccc(NC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2002,-7.523
deriv_024,derivative,CNc1cc(-c2c(NC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-8.217
deriv_024,derivative,CNc1cc(-c2c(NC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2001,-8.23
deriv_024,derivative,CNc1cc(-c2c(NC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2002,-8.2
deriv_025,derivative,CNc1cc(-c2c(OC)cccc2N(C)C)nc2c1cnn2C1=NN=CC1,2000,-8.302
deriv_025,derivative,CNc1cc(-c2c(OC)cccc2N(C)C)nc2c1cnn2C1=NN=CC1,2001,-8.266
deriv_025,derivative,CNc1cc(-c2c(OC)cccc2N(C)C)nc2c1cnn2C1=NN=CC1,2002,-8.294
deriv_026,derivative,CNc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2000,-8.093
deriv_026,derivative,CNc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2001,-8.066
deriv_026,derivative,CNc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2002,-8.059
deriv_027,derivative,CNc1cccc(N(C)C)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2000,-8.248
deriv_027,derivative,CNc1cccc(N(C)C)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2001,-8.23
deriv_027,derivative,CNc1cccc(N(C)C)c1-c1cc(OC)nc2c1cnn2C1=NN=CC1,2002,-8.246
deriv_028,derivative,CNc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-7.645
deriv_028,derivative,CNc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2001,-7.655
deriv_028,derivative,CNc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2002,-7.73
deriv_029,derivative,CNc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2000,-7.548
deriv_029,derivative,CNc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2001,-7.542
deriv_029,derivative,CNc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2002,-7.54
deriv_030,derivative,CNc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-8.326
deriv_030,derivative,CNc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2001,-8.249
deriv_030,derivative,CNc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2002,-8.327
deriv_031,derivative,COc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-8.458
deriv_031,derivative,COc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2001,-8.422
deriv_031,derivative,COc1cc(-c2c(OC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,2002,-8.43
deriv_032,derivative,COc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2000,-7.81
deriv_032,derivative,COc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2001,-7.819
deriv_032,derivative,COc1cccc(N(C)C)c1-c1cc(OC)c2cnn(C3=NN=CC3)c2n1,2002,-7.831
deriv_033,derivative,COc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2000,-7.709
deriv_033,derivative,COc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2001,-7.69
deriv_033,derivative,COc1cccc(OC)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,2002,-7.739
deriv_034,derivative,COc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2000,-7.635
deriv_034,derivative,COc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2001,-7.636
deriv_034,derivative,COc1cccc(OC)c1-c1cc(N(C)C)nc2c1cnn2C1=NN=CC1,2002,-7.655
